RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
26,D. Russell,Min,Den,124-109 L,30,7-15,4-7,0-0,4,7,2,1,3,18,35.7,7,14.5
27,C. Paul,PHX,LAC,112-107 L,36,6-12,1-3,2-2,9,6,1,1,2,15,35.6,11,10
28,J. Grant,Det,Bos,122-120 L,34,8-16,2-6,4-4,6,2,1,0,2,22,34,7,13.5
29,A. Wiggins,GS,Por,122-137 W,35,8-16,1-5,4-7,7,2,0,2,2,21,32.9,9,12.25
30,D. DeRozan,SA,UTAH,130-109 L,27,9-17,0-2,1-2,5,4,2,0,2,19,32.3,7,14.25
1,G. Antetokounmpo,Mil,Det,115-125 W,36,17-24,2-6,7-9,9,4,0,1,3,43,69.5,10,35
2,L. Doncic,Dal,@Hou,113-100 W,38,12-25,3-10,6-6,16,11,0,0,8,33,63.4,16,26.5
3,J. Tatum,Bos,@Tor,126-114 W,32,11-19,5-8,13-13,6,2,0,2,1,40,61.3,8,33
4,J. Randle,NY,@Atl,113-108 W,43,11-19,0-5,6-8,17,9,1,0,7,28,58.2,18,19.25
5,F. VanVleet,Tor,Bos,126-114 L,33,13-20,6-9,3-4,8,3,2,0,2,35,58.2,10,27.75
6,S. Curry,GS,Sac,106-137 W,31,9-18,5-12,7-7,9,8,0,0,2,30,54.9,9,28.25
7,T. Hardaway Jr.,Dal,@Hou,113-100 W,31,11-14,8-10,0-0,7,2,0,0,2,30,51,7,22.25
8,M. Brogdon,Ind,@NO,118-116 W,46,8-18,4-9,1-2,7,11,3,1,0,21,49.3,11,20.5
9,R. Barrett,NY,@Atl,113-108 W,44,10-19,1-5,5-7,11,5,2,0,0,26,49,13,20
10,B. Ingram,NO,Ind,118-116 L,40,12-31,1-6,6-6,4,8,1,2,1,31,48.1,7,28
11,T. Young,Atl,NY,113-108 L,40,9-22,1-6,12-15,2,14,1,0,8,31,47.7,3,27
12,N. Vucevic,Orl,Cle,83-103 W,31,9-16,2-5,3-3,8,2,2,3,0,23,45.2,13,17.25
13,D. Sabonis,Ind,@NO,118-116 W,35,9-16,1-3,0-0,11,7,0,2,5,19,43,13,12.25
14,D. Rose,Det,@Mil,115-125 L,25,9-18,2-4,4-4,2,8,1,0,0,24,42,3,25.75
15,V. Oladipo,Ind,@NO,118-116 W,36,8-17,5-11,4-6,5,6,2,0,2,25,41.7,7,20
16,A. Gordon,Orl,Cle,83-103 W,28,9-17,6-9,0-0,11,1,1,0,2,24,41.6,12,16
17,B. Adebayo,Mia,Okc,90-118 W,28,9-10,0-0,2-3,8,4,0,0,1,20,40.8,8,16
18,P. Pritchard,Bos,@Tor,126-114 W,32,8-13,2-4,5-5,2,8,0,0,3,23,40.4,2,20
19,D. Hunter,Atl,NY,113-108 L,37,9-15,3-6,2-3,8,1,0,1,0,23,39.2,9,14.75
20,C. Osman,Cle,@Orl,83-103 L,38,6-14,4-8,2-2,7,7,2,1,3,18,38.2,10,12.5
21,Z. Williamson,NO,Ind,118-116 L,35,9-19,0-0,6-8,10,2,1,1,3,24,38,12,14.25
22,J. Holiday,Mil,Det,115-125 W,34,6-10,2-3,1-1,6,7,3,0,1,15,37.2,9,12.5
23,J. Grant,Det,@Mil,115-125 L,34,10-25,4-10,0-0,4,3,1,3,2,24,36,8,16.5
24,J. Harden,Hou,Dal,113-100 L,38,5-17,3-11,8-10,3,10,2,0,2,21,35.9,5,19.5
25,L. Ball,NO,Ind,118-116 L,38,7-11,4-6,0-0,6,6,0,0,4,18,35.4,6,10.5
26,T. Harris,Phi,Cha,101-118 W,30,10-16,2-5,0-0,5,2,0,0,1,22,35.3,5,15.5
27,J. Embiid,Phi,Cha,101-118 W,25,4-10,0-3,6-8,11,4,2,3,1,14,35.2,16,10.75
28,P. Siakam,Tor,Bos,126-114 L,33,7-15,2-5,6-7,6,3,0,1,1,22,35.2,7,15.75
